,spent_rate,customer_state,customer_city,customer_count,total_spent,customer_count_percent,total_spent_percent
3586,med,SP,taruma,3,274.25,0.003153181560194236,0.0025065930297238663
3587,med,GO,edeia,3,273.9,0.003153181560194236,0.00250339409604874
3588,high,MG,campos gerais,2,273.9,0.0021021210401294906,0.00250339409604874
3589,med,PE,bezerros,4,273.7,0.004204242080258981,0.002501566133948668
3590,low,SC,tijucas,9,273.61,0.009459544680582707,0.0025007435510036357
3591,high,BA,barra do tarrachil,1,272.9,0.0010510605200647453,0.002494254285548379
3592,med,PB,guarabira,4,272.8,0.004204242080258981,0.0024933403044983438
3593,high,SP,pardinho,1,272.8,0.0010510605200647453,0.0024933403044983438
3594,high,SC,chapadao do lageado,1,272.70000000000005,0.0010510605200647453,0.002492426323448308
3595,med,PR,ibipora,3,272.09000000000003,0.003153181560194236,0.002486851039043088
3596,low,MS,corumba,7,272.02,0.0073574236404532175,0.0024862112523080624
3597,low,SP,itapolis,8,271.73,0.008408484160517963,0.002483560707262958
3598,med,SP,sao pedro,4,271.7,0.004204242080258981,0.002483286512947947
3599,high,MA,magalhaes de almeida,1,270.9,0.0010510605200647453,0.0024759746645476584
3600,med,RS,sananduva,3,270.89,0.003153181560194236,0.002475883266442655
3601,med,ES,alfredo chaves,3,270.6,0.003153181560194236,0.0024732327213975508
3602,med,MG,campos gerais,3,270.16,0.003153181560194236,0.0024692112047773923
3603,high,MG,vargem grande do rio pardo,1,270.0,0.0010510605200647453,0.0024677488350973342
3604,high,BA,ibipitanga,1,269.99,0.0010510605200647453,0.0024676574369923306
3605,high,SC,papanduva,1,269.99,0.0010510605200647453,0.0024676574369923306
3606,high,SP,apiai,1,269.99,0.0010510605200647453,0.0024676574369923306
3607,high,BA,angical,1,269.9,0.0010510605200647453,0.002466834854047298
3608,high,CE,ipaumirim,1,269.9,0.0010510605200647453,0.002466834854047298
3609,high,MG,chapada do norte,1,269.9,0.0010510605200647453,0.002466834854047298
3610,high,PB,livramento,1,269.9,0.0010510605200647453,0.002466834854047298
3611,high,PR,itambe,1,269.9,0.0010510605200647453,0.002466834854047298
3612,med,AL,rio largo,3,269.79,0.003153181560194236,0.0024658294748922584
3613,high,RO,sao miguel do guapore,1,269.79,0.0010510605200647453,0.0024658294748922584
3614,high,CE,altaneira,1,269.70000000000005,0.0010510605200647453,0.0024650068919472266
3615,med,MG,cachoeira de minas,3,269.7,0.003153181560194236,0.002465006891947226
3616,med,MG,eloi mendes,3,269.7,0.003153181560194236,0.002465006891947226
3617,med,RS,itaqui,4,269.69,0.004204242080258981,0.0024649154938422226
3618,low,SP,cordeiropolis,7,269.49,0.0073574236404532175,0.0024630875317421504
3619,high,BA,capim grosso,1,269.0,0.0010510605200647453,0.0024586090245969734
3620,high,MG,coroaci,1,269.0,0.0010510605200647453,0.0024586090245969734
3621,high,RO,machadinho d'oeste,1,269.0,0.0010510605200647453,0.0024586090245969734
3622,high,RS,soledade,1,269.0,0.0010510605200647453,0.0024586090245969734
3623,med,SC,palmitos,3,268.9,0.003153181560194236,0.0024576950435469375
3624,med,BA,utinga,3,268.89,0.003153181560194236,0.002457603645441934
3625,high,MG,mendes pimentel,2,268.8,0.0021021210401294906,0.0024567810624969016
3626,high,CE,araripe,2,268.6,0.0021021210401294906,0.0024549531003968295
3627,high,RS,monte alverne,1,268.0,0.0010510605200647453,0.0024494692140966134
3628,med,SC,fraiburgo,3,267.89,0.003153181560194236,0.0024484638349415735
3629,low,SP,laranjal paulista,7,267.86,0.0073574236404532175,0.002448189640626563
3630,med,PI,regeneracao,3,267.8,0.003153181560194236,0.0024476412519965412
3631,high,MG,campestre,2,267.8,0.0021021210401294906,0.0024476412519965412
3632,med,SP,juquia,3,267.4,0.003153181560194236,0.0024439853277963964
3633,low,SC,maravilha,7,267.28,0.0073574236404532175,0.0024428885505363533
3634,med,SC,forquilhinha,3,266.99,0.003153181560194236,0.0024402380054912493
3635,med,SP,aguas da prata,3,266.6,0.003153181560194236,0.0024366734793961086
3636,high,CE,horizonte,1,266.55,0.0010510605200647453,0.0024362164888710905
3637,low,PR,arapongas,8,266.23,0.008408484160517963,0.002433291749510975
3638,low,SP,nova granada,7,266.19,0.0073574236404532175,0.0024329261570909607
3639,low,RJ,sao fidelis,8,265.87,0.008408484160517963,0.0024300014177308453
3640,med,SP,salesopolis,3,265.79,0.003153181560194236,0.0024292702328908167
3641,low,RS,taquara,6,265.7,0.006306363120388472,0.002428447649945784
3642,high,SE,poco verde,1,265.0,0.0010510605200647453,0.0024220497825955317
3643,high,GO,indiara,1,264.94,0.0010510605200647453,0.0024215013939655103
3644,high,CE,icapui,2,264.9,0.0021021210401294906,0.0024211358015454954
3645,high,SP,santa cruz da conceicao,1,264.9,0.0010510605200647453,0.0024211358015454954
3646,med,MG,aracuai,3,264.88,0.003153181560194236,0.0024209530053354886
3647,high,PE,pesqueira,2,264.8,0.0021021210401294906,0.0024202218204954595
3648,med,MG,candeias,3,264.70000000000005,0.003153181560194236,0.002419307839445424
3649,med,RS,sao jose do norte,3,264.6,0.003153181560194236,0.0024183938583953878
3650,med,MG,pedra azul,3,264.0,0.003153181560194236,0.0024129099720951713
3651,high,MG,palma,2,264.0,0.0021021210401294906,0.0024129099720951713
3652,high,SC,atalanta,1,263.99,0.0010510605200647453,0.0024128185739901676
3653,high,SP,pedro de toledo,2,263.8,0.0021021210401294906,0.0024110820099950995
3654,high,SP,aracariguama,1,263.47,0.0010510605200647453,0.0024080658725299806
3655,low,SP,barra bonita,8,263.28,0.008408484160517963,0.0024063293085349116
3656,med,MS,navirai,3,262.9,0.003153181560194236,0.0024028561805447745
3657,low,SP,guariba,6,262.67,0.006306363120388472,0.002400754024129692
3658,med,SP,rancharia,3,262.6,0.003153181560194236,0.0024001142373946665
3659,low,MA,timon,8,262.38,0.008408484160517963,0.0023981034790845875
3660,low,SC,itapiranga,8,262.21999999999997,0.008408484160517963,0.0023966411094045294
3661,med,PI,cocal,3,262.0,0.003153181560194236,0.0023946303510944504
3662,med,RS,nova alvorada,3,261.8,0.003153181560194236,0.0023928023889943782
3663,low,SP,ituverava,8,261.77,0.008408484160517963,0.0023925281946793673
